No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out,T_K,CO2_conversion,MeOH_selectivity,data_source
231,250.3229075,40,95.5,19.93,0,25.0,0.005,74.989999,1e-06,20.3820054091955,2.57764024728609,67.9592019074876,3.22415619083065,5.85699533601172,9.09188475639692e-07,0.0,0.963174115979185,775.66,0.003,0.28,83.63,25.43,523.4729075,0.18471978363218,0.6981723619275549,published Slotboom et al.
187,250.0,50,166.257536766667,20.0,0,23.35,0.005,68.0,8.64,19.7533788016632,2.53775244223537,62.1815894152591,2.01739618670134,4.54474258123525,8.96514057290574,0.0,0.96122646667439,860.0,0.00635,0.031576,0.0,20.0,523.15,0.15403088643840693,0.5609142791112535,published Slotboom et al.
214,230.0,50,32.6633393333333,20.0,0,16.01,0.005,77.6,6.37,12.3954526796748,1.56927039938944,71.7986691019135,3.09821430269715,4.65683368000059,6.48155983632457,0.0,0.941823155042154,860.0,0.00635,0.031576,0.0,20.0,503.15,0.22576810245628987,0.857151401857537,published Slotboom et al.
166,220.0,50,32.8861061666667,20.0,0,23.31,0.005,68.0,8.68,20.6452712916432,1.42587409585102,62.7448024985042,2.35816390928948,3.77356231504754,9.05232588966456,0.0,0.954978356779108,860.0,0.00635,0.031576,0.0,20.0,493.15,0.11431697590548252,0.8849545928987419,published Slotboom et al.
163,250.0,50,65.77221235,20.0,0,23.01,0.005,67.29,9.68,18.7590489653216,2.81126364852142,60.0485075193423,2.64210603830357,5.44285169436098,10.2962221341502,0.0,0.949760259909965,860.0,0.00635,0.031576,0.0,20.0,523.15,0.18474363471005653,0.6215329268085663,published Slotboom et al.
208,230.0,50,100.340275216667,20.0,0,12.13,0.005,79.68,8.18,9.17816986135309,1.16002627162019,75.2392449730779,2.39510753579833,3.54464508940471,8.48280626874581,0.0,0.95432983263267,860.0,0.00635,0.031576,0.0,20.0,503.15,0.2433495580088137,0.8113974799702478,published Slotboom et al.
152,260.0,30,65.77221235,20.0,0,22.26,0.005,66.41,11.32,18.1851052828994,3.50280295587986,61.1623795509409,1.06987382773877,4.56245775260538,11.5173806299358,95.22901224,0.979061149215594,860.0,0.00635,0.031576,0.0,20.0,533.15,0.18305906186435766,0.26255250798234475,published Slotboom et al.
172,220.0,50,100.079323116667,20.0,0,23.3,0.005,68.01,8.68,21.2307771977055,1.03593868370743,63.7784620714178,1.96771343022871,2.99325553336486,8.99385308357568,0.0,0.962146911347652,810.0,0.00635,0.031576,0.0,20.0,493.15,0.08880784559203866,0.9509432372612412,published Slotboom et al.
149,230.0,30,65.77221235,20.0,0,22.22,0.005,66.57,11.2,20.1458438028332,1.29852345859678,62.9213835971463,1.4312583348939,2.71949136362279,11.483499442907,96.21861649,0.972182729909861,860.0,0.00635,0.031576,0.0,20.0,503.15,0.09334636350885692,0.6900436605733605,published Slotboom et al.
158,260.0,40,65.77221235,20.0,0,22.37,0.005,66.37,11.25,18.2859970198022,3.09182439944087,60.2546297545767,1.7975550558465,4.87902405918589,11.6909697111478,0.0,0.965282736879735,860.0,0.00635,0.031576,0.0,20.0,533.15,0.18256606974509618,0.4401453829887848,published Slotboom et al.
