No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
1,230,30,240,20,1,13.24,0.005,71.46,15.29,10.94,1.43,68.44,0.99,2.52,15.68,3.899,0.976614403401541,1097.22222222222,0,0,0,20
2,240,30,240,20,1,13.24,0.005,71.46,15.29,10.53,1.71,68.01,1.1,2.9,15.75,3.949,0.973252118644068,1097.22222222222,0,0,0,20
3,250,30,240,20,1,13.24,0.005,71.46,15.29,10.31,2.01,67.84,1.08,3.07,15.69,3.985,0.97531847133758,1097.22222222222,0,0,0,20
4,260,30,240,20,1,13.24,0.005,71.46,15.29,10.19,2.33,67.46,0.95,3.34,15.73,4.281,0.980522945570971,1097.22222222222,0,0,0,20
5,230,40,240,20,1,13.24,0.005,71.46,15.29,10.75,1.36,67.89,1.34,2.79,15.87,4.067,0.969912905779889,1097.22222222222,0,0,0,20
6,240,40,240,20,1,13.24,0.005,71.46,15.29,10.42,1.58,67.36,1.56,3.22,15.86,4.115,0.967105263157895,1097.22222222222,0,0,0,20
7,250,40,240,20,1,13.24,0.005,71.46,15.29,10.18,1.82,66.89,1.62,3.49,16,4.16,0.967105263157895,1097.22222222222,0,0,0,20
8,260,40,240,20,1,13.24,0.005,71.46,15.29,10.04,2.11,66.81,1.49,3.65,15.9,4.232,0.970937912813738,1097.22222222222,0,0,0,20
9,230,50,240,20,1,13.24,0.005,71.47,15.28,10.73,1.31,67.53,1.66,2.87,15.9,4.451,0.968124341412013,1097.22222222222,0,0,0,20
10,240,50,240,20,1,13.24,0.005,71.47,15.28,10.35,1.46,66.9,2.02,3.22,16.05,4.38,0.96229379418696,1097.22222222222,0,0,0,20
11,250,50,240,20,1,13.24,0.005,71.47,15.28,10.05,1.66,66.51,2.16,3.62,16,3.33,0.959780621572212,1097.22222222222,0,0,0,20
12,250,50,240,20,1,13.24,0.005,71.47,15.28,10.06,1.66,65.91,2.17,4.3,15.9,5.13,0.960031347962382,1097.22222222222,0,0,0,20
13,260,50,240,20,1,13.24,0.005,71.47,15.28,9.91,1.91,66.19,2.09,3.83,16.07,4.32,0.962545835515977,1097.22222222222,0,0,0,20
14,230,60,240,20,1,13.24,0.005,71.47,15.28,10.61,1.25,67.07,2.02,3.19,15.86,4.87,0.963555322496067,1097.22222222222,0,0,0,20
15,240,60,240,20,1,13.24,0.005,71.47,15.28,10.22,1.36,66.32,2.43,3.51,16.16,4.94,0.956533055700156,1097.22222222222,0,0,0,20
16,250,60,240,20,1,13.24,0.005,71.47,15.28,10.03,1.53,66.01,2.6,3.57,16.26,5.02,0.956035379812695,1097.22222222222,0,0,0,20
17,260,60,240,20,1,13.24,0.005,71.47,15.28,9.74,1.73,65.7,2.61,4.07,16.15,5.07,0.953802232026992,1097.22222222222,0,0,0,20
18,230,30,246,20,1,7.75,0.005,76.69,15.55,5.86,1.01,74.12,0.95,2,16.06,7.28,0.979364711337816,1097.22222222222,0,0,0,20
19,240,30,246,20,1,7.75,0.005,76.69,15.55,5.64,1.2,73.87,1.04,2.18,16.07,7.22,0.978683966635774,1097.22222222222,0,0,0,20
20,250,30,246,20,1,7.75,0.005,76.69,15.55,5.48,1.41,73.64,0.99,2.4,16.08,7.17,0.97981906750174,1097.22222222222,0,0,0,20
21,260,30,246,20,1,7.75,0.005,76.69,15.55,5.39,1.66,73.82,0.85,2.5,15.78,7.112,0.983469150174622,1097.22222222222,0,0,0,20
22,230,40,246,20,1,7.75,0.005,76.69,15.55,5.68,0.94,73.75,1.25,2.21,16.17,7.421,0.97372060857538,1097.22222222222,0,0,0,20
23,240,40,246,20,1,7.75,0.005,76.69,15.55,5.48,1.08,73.25,1.43,2.56,16.2,7.867,0.972375690607735,1097.22222222222,0,0,0,20
24,250,40,246,20,1,7.75,0.005,76.69,15.55,5.32,1.25,73.09,1.45,2.72,16.17,7.906,0.972599585539949,1097.22222222222,0,0,0,20
25,230,50,246,20,1,7.77,0.005,76.56,15.66,5.55,0.87,73.29,1.58,2.49,16.22,8.232,0.968793024323084,1097.22222222222,0,0,0,20
26,240,50,246,20,1,7.77,0.005,76.56,15.66,5.26,0.96,72.88,1.84,2.8,16.26,8.131,0.964367291000457,1097.22222222222,0,0,0,20
27,250,50,246,20,1,7.77,0.005,76.56,15.66,5.07,1.09,72.63,1.9,2.99,16.32,8.093,0.963047445255474,1097.22222222222,0,0,0,20
28,260,50,246,20,1,7.77,0.005,76.56,15.66,4.99,1.29,72.73,1.78,3.06,16.15,7.979,0.965690759377859,1097.22222222222,0,0,0,20
29,230,60,246,20,1,7.77,0.005,76.56,15.66,5.38,0.8,72.98,1.89,2.78,16.17,8.199,0.963486992240986,1097.22222222222,0,0,0,20
30,240,60,246,20,1,7.77,0.005,76.56,15.66,5.06,0.86,72.47,2.23,3.09,16.29,8.165,0.957803992740472,1097.22222222222,0,0,0,20
31,250,60,246,20,1,7.77,0.005,76.56,15.66,4.85,0.96,72.26,2.34,3.25,16.34,8.05,0.955419778230369,1097.22222222222,0,0,0,20
32,260,60,246,20,1,7.77,0.005,76.56,15.66,4.79,1.13,72.2,2.25,3.36,16.27,8.012,0.957803992740472,1097.22222222222,0,0,0,20
