z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
0.0,0.0047619047619047615,0.015238095238095238,0.0,0.0,0.0,0.0,493.15,30.0
1.4691141922824012e-08,0.004761898933822245,0.015238089408874335,5.828040793367706e-09,4.1723942690477425e-14,5.8280825173103375e-09,0.0,493.1496349738893,29.99999999979719
2.9382283845648024e-08,0.00476189310811685,0.01523808358203065,1.1653704512365203e-08,8.339842834095634e-14,1.1653787910793412e-08,0.0,493.1492700967264,29.99999999959438
1.7629370307388815e-07,0.004761835058768803,0.01523802552130837,6.970264011758676e-08,4.958410620712119e-13,6.97031356032966e-08,0.0,493.145634339754,29.9999999975663
3.2320512230212827e-07,0.004761777243497387,0.015237967694672389,1.2751750390615936e-07,9.03468923559827e-13,1.2751839985343986e-07,0.0,493.1420132498938,29.999999995538225
7.642918126350394e-07,0.00476160493061037,0.015237795347716071,2.998291927814652e-07,2.10160952592806e-12,2.9983122215643337e-07,0.0,493.1312209738907,29.999999989449236
1.2053785029679506e-06,0.0047614346166033154,0.015237624999719873,4.7014204160080533e-07,3.2598445717610513e-12,4.70145096319254e-07,0.0,493.1205539499505,29.999999983360375
1.6464651933008617e-06,0.004761266286888167,0.015237456636093459,6.384706372801991e-07,4.379313584690564e-12,6.384746088680639e-07,0.0,493.1100112664207,29.999999977271642
3.262560185430557e-06,0.004760665259355832,0.015236855484895532,1.2394943573935803e-06,8.191538995826505e-12,1.2395008149480278e-06,0.0,493.07236876666934,29.99999995496426
4.283856364320654e-06,0.00476029774378704,0.015236487891622442,1.6070077390360273e-06,1.037861482183944e-11,1.6070150789894347e-06,0.0,493.0493516322531,29.999999940867905
5.305152543210751e-06,0.004759938914929294,0.015236128985355799,1.9658345564245993e-06,1.2418876605818148e-11,1.965842282087126e-06,0.0,493.02687890501227,29.999999926772198
6.326448722100848e-06,0.004759588207630883,0.015235778200912209,2.316539945491938e-06,1.4328130010714044e-11,2.3165475842715113e-06,0.0,493.0049151910286,29.999999912677136
8.139262202347912e-06,0.004758984296847417,0.015235174153770844,2.9204476258597443e-06,1.7431187789088294e-11,2.920454005158121e-06,0.0,492.96709507078236,29.99999988765973
9.952075682594976e-06,0.004758402064791719,0.01523459178598626,3.5026768905784237e-06,2.0222225934819623e-11,3.5026806843887527e-06,0.0,492.9306338248711,29.999999862644227
1.176488916284204e-05,0.004757839421994127,0.015234029007989758,4.0653171597867945e-06,2.2750702698382866e-11,4.065317127655009e-06,0.0,492.8954005853779,29.999999837630536
1.3577702643089104e-05,0.004757294623834621,0.015233484075084569,4.610113015142141e-06,2.5054934515239897e-11,4.610107987190764e-06,0.0,492.86128607906664,29.99999981261861
1.6759880748545313e-05,0.004756376984393332,0.015232566200024182,5.52774886143824e-06,2.864988509826313e-11,5.527732414960234e-06,0.0,492.8038278964557,29.99999976871722
1.9942058854001523e-05,0.004755503168090198,0.015231692149058246,6.401562040903349e-06,3.177343592324402e-11,6.401531020145936e-06,0.0,492.7491177272589,29.99999972482084
2.3124236959457733e-05,0.004754667919035346,0.01523085666611559,7.236808353065957e-06,3.45159325670365e-11,7.236759814972286e-06,0.0,492.6968263262186,29.999999680929218
2.6306415064913942e-05,0.004753866894693311,0.015230055408520696,8.037830263727127e-06,3.694709671161296e-11,8.037761443844437e-06,0.0,492.6466816496214,29.999999637042162
2.9488593170370152e-05,0.004753096473503761,0.015229284754603908,8.808249278927693e-06,3.91213061713192e-11,8.808157564551739e-06,0.0,492.59845680860195,29.999999593159483
3.3662672727606806e-05,0.004752127291886424,0.015228315268374452,9.777428364393463e-06,4.1653056970755986e-11,9.77730287271843e-06,0.0,492.53779658064036,29.999999535604726
3.7836752284843464e-05,0.004751200003256327,0.015227387675750301,1.0704714762291917e-05,4.388511058021942e-11,1.0704551465339071e-05,0.0,492.47976527658085,29.999999478056896
4.201083184208012e-05,0.004750310051223643,0.01522649742023566,1.1594664809812552e-05,4.5870075810257367e-11,1.1594459887340863e-05,0.0,492.4240773844647,29.999999420515714
4.618491139931678e-05,0.0047494536249945,0.015225640690953623,1.2451089259759226e-05,4.76490889059783e-11,1.2450839071716812e-05,0.0,492.37049409664974,29.999999362980905
5.0358990956553436e-05,0.004748627500946709,0.015224814264215911,1.3277211701678687e-05,4.925485050405778e-11,1.3276912766241978e-05,0.0,492.31881338774735,29.99999930545225
5.609696246215504e-05,0.0047475363256956095,0.015223722673364063,1.4368384980923854e-05,5.1226583458615084e-11,1.436801360590485e-05,0.0,492.2505623267315,29.999999226379128
6.183493396775664e-05,0.004746491337430273,0.015222677269981012,1.5413371501404437e-05,5.2971261356571354e-11,1.5412921686800955e-05,0.0,492.18521241120584,29.999999147316736
6.757290547335825e-05,0.004745487666126509,0.01522167318396369,1.6417041248448578e-05,5.452773898869347e-11,1.6416507268803836e-05,0.0,492.1224583568615,29.999999068264632
7.331087697895986e-05,0.0047445212192319865,0.015220706322697631,1.7383486743980095e-05,5.592650977295722e-11,1.7382863116251858e-05,0.0,492.06204359263467,29.999998989222412
7.904884848456147e-05,0.004743588519580673,0.015219773208967096,1.83161851297576e-05,5.7191914326282354e-11,1.8315466587091507e-05,0.0,492.0037501074227,29.999998910189724
8.696929275542488e-05,0.00474235105015533,0.015218535168372368,1.955365299167775e-05,5.875518557790741e-11,1.9552795136544035e-05,0.0,491.92642733035166,29.99999880111154
9.48897370262883e-05,0.0047411657117509744,0.015217349259199322,2.0738990010231106e-05,6.014075082946428e-11,2.0737983627191035e-05,0.0,491.8523832220588,29.999998692050134
0.00010281018129715172,0.004740027104030819,0.01521621008104938,2.1877596492238094e-05,6.137858278654451e-11,2.187643276349264e-05,0.0,491.78127907481854,29.999998583004817
0.00011073062556801513,0.004738930674118761,0.015215113080997463,2.297402529031197e-05,6.24922850659324e-11,2.297269575287447e-05,0.0,491.7128292973629,29.99999847397498
0.00011865106983887855,0.004737872543151063,0.015214054380140476,2.40321552493824e-05,6.350074542935478e-11,2.403065175945762e-05,0.0,491.64679054709023,29.999998364960042
0.00012953913719320265,0.004736474412067331,0.015212655465993503,2.5430285090832776e-05,6.474283576304924e-11,2.542852970647556e-05,0.0,491.5595640032884,29.99999821512292
0.00014042720454752675,0.004735135156682976,0.015211315427895878,2.676953937263243e-05,6.58450934259772e-11,2.6767517917714673e-05,0.0,491.47604660158316,29.99999806531181
0.00015131527190185084,0.004733848765882267,0.015210028254682402,2.8055929187226448e-05,6.683081620695128e-11,2.805362808031892e-05,0.0,491.39586105267153,29.999997915525665
0.00016220333925617494,0.004732610157675698,0.015208788864324037,2.9294536505858953e-05,6.77184117839681e-11,2.9291942699466013e-05,0.0,491.3186883291437,29.999997765763496
0.00017309140661049904,0.004731414992096135,0.015207592916821678,3.0489701280986016e-05,6.852264576245372e-11,3.0486802210381554e-05,0.0,491.2442559380935,29.999997616024437
0.00018798414331476997,0.004729843866739711,0.015206020722272883,3.2060825650748876e-05,6.950908455282044e-11,3.2057489484667935e-05,0.0,491.14646244741795,29.9999974112468
0.0002028768800190409,0.004728339043847204,0.015204514830516304,3.3565647666632925e-05,7.038537408052705e-11,3.3561852723487585e-05,0.0,491.0528553749346,29.99999720650907
0.00021776961672331183,0.004726893839290756,0.015203068557383362,3.5010851438357914e-05,7.11696660609978e-11,3.500657693567272e-05,0.0,490.96301477506955,29.999997001809575
0.00023266235342758276,0.0047255025877498075,0.015201676237520589,3.640210227225933e-05,7.187634506575529e-11,3.639732823780612e-05,0.0,490.87658462780615,29.999996797146853
0.0002475550901318537,0.0047241604405710335,0.015200333022247816,3.774424881019365e-05,7.251697618496688e-11,3.7738956006568665e-05,0.0,490.79326016300814,29.999996592519512
0.0002678309581180262,0.0047224046382962044,0.015198575766132746,3.9500050302143565e-05,7.329964727115353e-11,3.9494021489237674e-05,0.0,490.6843407303428,29.99999631398222
