z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
0.0,0.0047619047619047615,0.015238095238095238,0.0,0.0,0.0,0.0,493.15,30.0
1.4691267534775058e-08,0.004761898933772431,0.01523808940987946,5.82809060637932e-09,4.1724299074581195e-14,5.8281323306783316e-09,0.0,493.1496349707694,29.99999999979719
2.9382535069550117e-08,0.004761893108017264,0.015238083584040942,1.165380409752281e-08,8.339914026780127e-14,1.1653887496662929e-08,0.0,493.14927009048915,29.99999999959438
1.762952104173007e-07,0.0047618350581750514,0.015238025533373835,6.97032338660869e-08,4.958452566614417e-13,6.970372971070468e-08,0.0,493.1456343025678,29.99999999756628
3.232078857650513e-07,0.00476177724241348,0.015237967716797002,1.2751858780593658e-07,9.034765196130522e-13,1.275194912810036e-07,0.0,493.1420131820118,29.999999995538197
7.643138130865761e-07,0.0047616049220711235,0.015237795394058262,2.9983773196951946e-07,2.1016681943767503e-12,2.9983983363717343e-07,0.0,493.131220439088,29.999999989448938
1.2054197404081009e-06,0.004761434600783155,0.01523762507045373,4.7015786165413564e-07,3.2599508839668513e-12,4.701611216048125e-07,0.0,493.12055295917133,29.999999983359814
1.6465256677296256e-06,0.004761266263956726,0.015237456731388275,6.384935685707397e-07,4.379464314302682e-12,6.384979480351122e-07,0.0,493.1100098303093,29.99999997727081
3.2624859849874605e-06,0.004760665286533779,0.015236855746341513,1.2394671796140872e-06,8.19137060022365e-12,1.2394753709806752e-06,0.0,493.07237046921114,29.999999954965286
4.283781142305305e-06,0.004760297770731062,0.0152364882261647,1.6069807951751447e-06,1.037845474719254e-11,1.6069911736988067e-06,0.0,493.0493533203972,29.999999940868946
5.30507629962315e-06,0.004759938941692402,0.015236129393045595,1.9658077934688515e-06,1.2418723537184344e-11,1.9658202123577612e-06,0.0,493.0268805821469,29.999999926773253
6.326371456940995e-06,0.004759588234269816,0.015235778681804582,2.3165133067075626e-06,1.4327982663307243e-11,2.316527634944972e-06,0.0,493.0049168607723,29.99999991267821
