target,feature,permutation_importance
co2_conversion,water_permeance_mol_m2_s_pa,0.9821563663658439
co2_conversion,inlet_flow_mol_s,0.12064042353644779
co2_conversion,length_m,0.06905186449433333
co2_conversion,inlet_pressure_bar,0.05093638546664446
co2_conversion,inlet_temperature_k,0.0030284121137388394
co2_conversion,sweep_water_partial_pressure_bar,0.0023130870565391056
co2_conversion,h2_co2_ratio,0.0022938302516836667
methanol_selectivity_carbon,length_m,0.09003820619407993
methanol_selectivity_carbon,inlet_flow_mol_s,0.06136895893630089
methanol_selectivity_carbon,water_permeance_mol_m2_s_pa,0.05270003067808067
methanol_selectivity_carbon,inlet_temperature_k,0.037233250510574044
methanol_selectivity_carbon,sweep_water_partial_pressure_bar,0.0001434611220234361
methanol_selectivity_carbon,h2_co2_ratio,-0.0005981269486502016
methanol_selectivity_carbon,inlet_pressure_bar,-0.0019750682415253054
methanol_sty_kg_m3cat_h,water_permeance_mol_m2_s_pa,0.19262111941631693
methanol_sty_kg_m3cat_h,length_m,0.0715092182047992
methanol_sty_kg_m3cat_h,inlet_temperature_k,0.03724322280798544
methanol_sty_kg_m3cat_h,inlet_flow_mol_s,0.033476471432823326
methanol_sty_kg_m3cat_h,h2_co2_ratio,-0.0013554881724042436
methanol_sty_kg_m3cat_h,sweep_water_partial_pressure_bar,-0.0015374014911575232
methanol_sty_kg_m3cat_h,inlet_pressure_bar,-0.013486623783529746
