P_in_bar,P_in_Pa,co2_conversion,meoh_yield,meoh_selectivity,h2o_removal_fraction
30.0,3000000.0,0.41893214083450236,0.16533745122404103,0.39466404008700057,0.8550106877795264
35.0,3500000.0,0.4583080669723241,0.21056019696243602,0.4594293928829124,0.8799456815239068
40.0,4000000.0,0.49440438088590705,0.2542703795240846,0.5142963722701361,0.8981713327653236
45.0,4500000.0,0.5270834917383278,0.29531805694078683,0.5602870542707082,0.9118301843092033
50.0,5000000.0,0.556436017874555,0.33313322736069795,0.5986909845145947,0.9222920388910887
55.0,5500000.0,0.5826902954586684,0.3675376309757637,0.6307598287465113,0.9304621477886329
60.0,6000000.0,0.6061409258985037,0.39859294201232254,0.6575912052489682,0.9369549091749866
65.0,6500000.0,0.627100731346098,0.4264931084370068,0.6801030314882929,0.9421967668899179
70.0,7000000.0,0.6458723025617147,0.45149427124173447,0.6990457238233917,0.9464896405192771
75.0,7500000.0,0.6627334278642237,0.47387214360630947,0.7150267719759462,0.9500511436592354
80.0,8000000.0,0.677931274411752,0.4938978301842843,0.7285367246301545,0.9530407081826141
85.0,8500000.0,0.6916816257822266,0.5118252870903315,0.7399723630239641,0.9555769536742136
90.0,9000000.0,0.7041707205218612,0.5278856858502549,0.7496558298519406,0.9577493990619227
95.0,9500000.0,0.71555831350978,0.5422861026562469,0.7578503280834777,0.9596265009097091
100.0,10000000.0,0.7259809922787585,0.5552098080146475,0.7647718244962821,0.9612612716124702
