model,target,R2,MAE,RMSE,MAPE_percent
RandomForest,co2_conversion,0.887591486724279,0.016352511894651527,0.030167894332378625,19.657398015818675
RandomForest,meoh_yield,0.8890841996415794,0.014747551774629875,0.026979085276834822,20.195360437738593
RandomForest,meoh_selectivity,0.788730837880956,0.009975819669124425,0.013419948494254832,1.124892773172302
RandomForest,h2o_removal_fraction,0.1554608910813262,0.089052839705412,0.11247026783362253,14.52877441549269
ExtraTrees,co2_conversion,0.9708656718365659,0.007100503126202942,0.01535846810532563,9.062961225750186
ExtraTrees,meoh_yield,0.9729390560217824,0.0061526609110193736,0.013326066718549228,8.896567421243699
ExtraTrees,meoh_selectivity,0.9451146633390874,0.004592163689837926,0.0068400765212506464,0.5155852128294879
ExtraTrees,h2o_removal_fraction,0.9212587907058645,0.02296261224888803,0.03434226117089919,3.7524528528298524
GradientBoosting,co2_conversion,0.886504601557756,0.016427305555326437,0.03031339113221093,20.787787869299624
GradientBoosting,meoh_yield,0.886636594396077,0.015685804575415546,0.02727513785701931,23.35838799985004
GradientBoosting,meoh_selectivity,0.7910820339169073,0.009463313016486815,0.013345064851162037,1.0674340011241916
GradientBoosting,h2o_removal_fraction,0.030368678423569495,0.09346992263031777,0.12051224154189182,15.221623573389731
